Statistic Measure,Naive Bayes,Random Forest,SVM,KNN
Accuracy,0.89548295488538865,0.94562155737345288,0.96102883596511879,0.95719729150130739
Precision,0.88678660437832824,0.94264148255310176,0.95775603839423451,0.95383256242537706
Recall,0.88852341086739273,0.9395078349140682,0.95782494722423495,0.95495714254242581
F-Measure,0.88583965591927072,0.94081796205444557,0.95767863576739887,0.95427794812690792
AUC,0,0,0,0
